epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,68.081,0.66366,0.54571,1.54441,1,0.7318,0.8696,0.62602,1.23381,1.18941,1.74572,0.0006536,0.0006536,0.0006536
70,69.2628,0.58767,0.56425,1.25565,1,0.74234,0.85893,0.63447,1.2615,1.21901,1.79016,0.0006338,0.0006338,0.0006338
71,70.3981,0.59308,0.59323,1.41921,1,0.74234,0.85893,0.63447,1.2615,1.21901,1.79016,0.000614,0.000614,0.000614
72,71.5315,0.5664,0.51812,1.31578,0.97905,0.75,0.85893,0.61424,1.28334,1.19672,1.80429,0.0005942,0.0005942,0.0005942
73,72.6688,0.63132,0.63515,1.41489,0.97905,0.75,0.85893,0.61424,1.28334,1.19672,1.80429,0.0005744,0.0005744,0.0005744
74,73.6314,0.6958,0.62129,1.35094,0.96204,0.75,0.85893,0.62508,1.30128,1.18683,1.79874,0.0005546,0.0005546,0.0005546
75,74.5544,0.64195,0.58604,1.34358,0.96204,0.75,0.85893,0.62508,1.30128,1.18683,1.79874,0.0005348,0.0005348,0.0005348
76,75.5815,0.63954,0.60955,1.35265,0.96109,0.75,0.87971,0.6259,1.3136,1.1615,1.80383,0.000515,0.000515,0.000515
77,76.4769,0.58462,0.54358,1.29214,0.96109,0.75,0.87971,0.6259,1.3136,1.1615,1.80383,0.0004952,0.0004952,0.0004952
78,77.4856,0.68138,0.65438,1.36293,0.86184,0.875,0.89235,0.59823,1.28231,1.09649,1.7719,0.0004754,0.0004754,0.0004754
79,78.3644,0.64317,0.53816,1.44924,0.86184,0.875,0.89235,0.59823,1.28231,1.09649,1.7719,0.0004556,0.0004556,0.0004556
80,79.2725,0.58807,0.49718,1.50324,1,0.85109,0.9114,0.61309,1.27245,1.04391,1.7637,0.0004358,0.0004358,0.0004358
81,80.1301,0.56166,0.52738,1.18389,1,0.85109,0.9114,0.61309,1.27245,1.04391,1.7637,0.000416,0.000416,0.000416
82,81.0392,0.57628,0.54514,1.36649,0.93146,0.875,0.91471,0.62034,1.21837,1.00779,1.72361,0.0003962,0.0003962,0.0003962
83,81.9037,0.55668,0.51305,1.22452,0.93146,0.875,0.91471,0.62034,1.21837,1.00779,1.72361,0.0003764,0.0003764,0.0003764
84,82.8141,0.58282,0.56781,1.27645,0.92939,0.875,0.9114,0.59592,1.21632,0.99535,1.70924,0.0003566,0.0003566,0.0003566
85,83.6701,0.63001,0.58221,1.44801,0.92939,0.875,0.9114,0.59592,1.21632,0.99535,1.70924,0.0003368,0.0003368,0.0003368
86,84.5851,0.5753,0.50087,1.34902,0.87221,0.875,0.9114,0.61206,1.19338,0.9668,1.66964,0.000317,0.000317,0.000317
87,85.4444,0.58711,0.52229,1.28226,0.87221,0.875,0.9114,0.61206,1.19338,0.9668,1.66964,0.0002972,0.0002972,0.0002972
88,86.3279,0.63373,0.55849,1.37365,0.86938,0.875,0.9114,0.62984,1.17034,0.94568,1.65493,0.0002774,0.0002774,0.0002774
89,87.1856,0.51782,0.49799,1.25489,0.86938,0.875,0.9114,0.62984,1.17034,0.94568,1.65493,0.0002576,0.0002576,0.0002576
90,88.0645,0.57205,0.52455,1.23707,0.86935,0.875,0.9114,0.63796,1.15505,0.91786,1.64374,0.0002378,0.0002378,0.0002378
91,89.1094,0.43008,0.50928,1.30322,0.86935,0.875,0.9114,0.63796,1.15505,0.91786,1.64374,0.000218,0.000218,0.000218
92,90.1065,0.42414,0.50862,1.19782,0.86801,0.875,0.9114,0.63796,1.13841,0.89972,1.64786,0.0001982,0.0001982,0.0001982
93,91.0594,0.42471,0.46503,1.16027,0.86801,0.875,0.9114,0.63796,1.13841,0.89972,1.64786,0.0001784,0.0001784,0.0001784
94,91.9295,0.44043,0.53714,1.23854,0.86486,0.875,0.9086,0.6415,1.11626,0.89295,1.65136,0.0001586,0.0001586,0.0001586
95,92.7992,0.43364,0.47905,1.1731,0.86486,0.875,0.9086,0.6415,1.11626,0.89295,1.65136,0.0001388,0.0001388,0.0001388
96,93.6704,0.43865,0.47477,1.39534,0.86314,0.875,0.88995,0.6458,1.10543,0.87982,1.65936,0.000119,0.000119,0.000119
97,94.4961,0.45366,0.48057,1.38293,0.86314,0.875,0.88995,0.6458,1.10543,0.87982,1.65936,9.92e-05,9.92e-05,9.92e-05
98,95.3329,0.46314,0.48423,1.26103,0.86353,0.875,0.88995,0.6458,1.10311,0.87936,1.6788,7.94e-05,7.94e-05,7.94e-05
99,96.1582,0.43704,0.51184,1.33106,0.86353,0.875,0.88995,0.6458,1.10311,0.87936,1.6788,5.96e-05,5.96e-05,5.96e-05
100,97.0031,0.42415,0.48838,1.45412,0.86396,0.875,0.88995,0.66849,1.08522,0.87409,1.65472,3.98e-05,3.98e-05,3.98e-05
